"tract","Name","Number_of_Children_rP_gP_pall"
24005451802,"Middle River, MD",569
24005451900,"Edgemere, MD",565
24510271300,"Roland Park, Baltimore, MD",560
24005451100,"Essex, MD",555
24005403300,"Lochearn, Pikesville, MD",554
24510210100,"Pigtown, Baltimore, MD",549
24510090400,"Better Waverly, Baltimore, MD",540
24005491300,"Baltimore, MD",538
24510080700,"Broadway East, Baltimore, MD",534
24510250203,"Cherry Hill, Baltimore, MD",533
24510120700,"Remington, Baltimore, MD",531
24510270200,"Lauraville, Baltimore, MD",530
24510270101,"Arcadia, Baltimore, MD",528
24005403803,"Pikesville, MD",520
24005440200,"Nottingham, MD",519
24005403100,"Gwynn Oak, Pikesville, MD",514
24510150701,"Hanlon Longwood, Baltimore, MD",513
24005400900,"Catonsville, MD",511
24005430600,"Relay, Halethorpe, MD",510
24510130803,"Medfield, Baltimore, MD",510
24510180300,"Hollins Market, Baltimore, MD",509
24005400701,"Catonsville, MD",509
24005403202,"Gwynn Oak, Baltimore, MD",508
24005400200,"Catonsville, MD",506
24005450400,"Essex, MD",504
24005492102,"Parkville, MD",502
24005420301,"Dundalk, MD",500
24510260403,"Cedonia, Baltimore, MD",500
24005451701,"Middle River, MD",499
24005401000,"Catonsville, MD",496
24005420402,"Dundalk, MD",494
24005421102,"Dundalk, MD",488
24005402403,"Gwynn Oak, Baltimore, MD",483
24005440300,"Nottingham, MD",481
24510270804,"Lake Walker, Baltimore, MD",481
24005490400,"Towson, MD",479
24510260404,"Baltimore Highlands, Baltimore, MD",479
24510270302,"Waltherson, Baltimore, MD",474
24510260700,"Fifteenth Street, Baltimore, MD",473
24510130804,"Hampden, Baltimore, MD",469
24005420200,"Dundalk, MD",457
24005402305,"Lochearn, Pikesville, MD",448
24005490603,"Baltimore, MD",446
24005411308,"Nottingham, MD",444
24005400100,"Catonsville, MD",439
24510260900,"Baltimore, MD",436
24510160300,"Sandtown-Winchester, Baltimore, MD",434
24005421200,"Dundalk, MD",428
24005451702,"Middle River, MD",427
24005491202,"Towson, MD",426
24005420702,"Dundalk, MD",424
24005411302,"White Marsh, MD",419
24005441101,"Rosedale, MD",415
24510200702,"Saint Joseph's, Baltimore, MD",415
24510120100,"Tuscany - Canterbury, Baltimore, MD",410
24005402407,"Windsor Mill, Milford Mill, MD",408
24510230200,"South Baltimore, Baltimore, MD",405
24510170100,"Downtown, Baltimore, MD",405
24510020200,"Upper Fells Point, Baltimore, MD",404
24510240100,"Locust Point, Baltimore, MD",403
24005400702,"Baltimore, MD",401
24510240400,"Riverside Park, Baltimore, MD",396
24510280402,"Rognel Heights, Baltimore, MD",388
24005440600,"Rosedale, MD",387
24510120500,"Greenmount West, Baltimore, MD",387
24005421000,"Dundalk, MD",368
24510150500,"Burleith-Leighton, Baltimore, MD",363
24005420303,"Dundalk, MD",362
